Yfog,ENP Normal (Average),ENP V_k,ENP V_k Recursive,Prob O Scores TD/FG,Prob D Scores TD/FG,1 - P(O) - P(D),"ENP_O | O, yrdline = x","ENP_O | D, yrdline = x","ENP_O | No TD/FG, yrdline = x",# Obs ENP Normal (Average),"# Obs (ENP_O | O, yrdline = x)","# Obs (ENP_O | D, yrdline = x)","# Obs (ENP_O | No TD/FG, yrdline = x)"
1,-1.28328173374613,-1.6637233859091385,-1.6706058891448317,0.29411764705882354,0.47368421052631576,0.23219814241486064,5.163157894736842,-5.627450980392157,-0.2,646,190,306,150
2,-0.31100478468899523,-1.1467381749621877,-1.1534146404055121,0.31100478468899523,0.43381180223285487,0.25518341307814996,5.38974358974359,-5.4338235294117645,-0.0375,627,195,272,160
3,-0.25203252032520324,-0.93748799265228,-0.9442364287681643,0.3382113821138211,0.4146341463414634,0.24715447154471554,5.3701923076923075,-5.490196078431373,-0.06578947368421052,615,208,255,152
4,-0.31191222570532917,-1.032255260927555,-1.0390133150167389,0.32445141065830724,0.42946708463949845,0.24608150470219436,5.63768115942029,-5.543795620437956,-0.07643312101910828,638,207,274,157
5,-0.3102409638554217,-1.0845097409001838,-1.0913676685437752,0.338855421686747,0.42620481927710846,0.23493975903614456,5.297777777777778,-5.614840989399293,-0.07692307692307693,664,225,283,156
6,-0.3242506811989101,-0.7479877126630936,-0.7548877216065639,0.36103542234332425,0.4087193460490463,0.23024523160762939,5.388679245283019,-5.416666666666667,-0.03550295857988166,734,265,300,169
7,-0.4847001223990208,-0.6261358592208607,-0.6335088634373421,0.40269277845777235,0.41982864137086906,0.17747858017135865,5.303951367781155,-5.3615160349854225,-0.041379310344827586,817,329,343,145
8,-0.1268939393939394,-0.8453866066425647,-0.8525764057846569,0.3664772727272727,0.4356060606060606,0.19791666666666669,5.385012919896641,-5.3304347826086955,-0.028708133971291867,1056,387,460,209
9,0.1460415065334358,-0.5507902356463199,-0.5578731678336961,0.388162951575711,0.4019984627209839,0.2098385857033051,5.483168316831684,-5.4455066921606115,-0.029304029304029304,1301,505,523,273
10,-0.22774076317383404,-0.8818786756005678,-0.8891214677480491,0.37310720775287703,0.4348879466989703,0.19200484554815272,5.5064935064935066,-5.600278551532034,-0.031545741324921134,1651,616,718,317
11,-0.22466335931963147,-0.8685571167215501,-0.8756786886423152,0.369950389794472,0.42452161587526577,0.2055279943302622,5.344827586206897,-5.56093489148581,0.006896551724137931,1411,522,599,290
12,0.11330409356725146,-0.31532995749942333,-0.3226950376869023,0.4283625730994152,0.3932748538011696,0.17836257309941522,5.392491467576792,-5.381040892193308,-0.03278688524590164,1368,586,538,244
13,0.1971153846153846,-0.5474015285725164,-0.5547401104854952,0.40796703296703296,0.4107142857142857,0.18131868131868134,5.398989898989899,-5.461538461538462,-0.030303030303030304,1456,594,598,264
14,0.1521610420367081,-0.20952109760616733,-0.21664339546222655,0.42628774422735344,0.36826524570751923,0.2054470100651274,5.340277777777778,-5.432475884244373,0.005763688760806916,1689,720,622,347
