pid,blk,brcv
1435,JJ-4100,TG-1500
2841,OR-0200,
3703,GW-1200,
4912,TH-0300,
4970,EW-1050,BK-1100
5100,MW-1100,RP-1000
5190,MB-4100,BM-0700
5430,AS-1200,RB-0700
6268,SB-2000,
6399,RJ-2400,
6860,KM-2400,DR-2700
7667,MW-1100,JJ-2300
10501,DD-0100,GD-0100
11276,DT-0400,
11313,WS-0100,
12376,JT-2700,
13012,JG-1300,LF-0400
13498,BB-3200,CS-3700
13645,AD-1500,EA-0200
13951,WS-0100,DA-0100
16347,NW-0300,RR-0500
16423,MJ-2000,TJ-0500
17626,BW-0200,MC-1600
19219,SB-2000,
19540,GE-0200,PS-0700
20712,AD-1500,
21104,JM-3700,DS-4900
25764,IG-0200,IG-0200
26556,PW-0900,HJ-0100
27384,LF-0600,CS-0800
35518,PS-0200,RH-2000
35808,BB-3200,
36171,CE-0100,CE-0100
36253,CE-0100,LW-1000
36295,SH-0600,SH-0600
36427,JW-3700,DE-1200
37700,BN-0500,
39415,BM-0200,TR-1200
41597,JB-4500,JB-4500
41667,KW-0600,
41671,CC-3500,
41685,CC-3500,
41726,KW-0600,AM-2100
43588,SG-0600,
44622,LL-0800,
48836,FA-0100,
48849,NK-0300,IR-0300
48979,DS-5000,
49354,DM-2600,DM-2600
50433,WT-0100,
50446,CW-3700,
52382,MR-0800,
52695,EE-0300,
53073,AB-0400,AB-0400
54538,HF-0200,DM-2600
54631,BM-3200,LM-2000
54656,TJ-2500,JC-2600
55011,CW-2100,
56233,JH-3300,CH-2200
56385,JW-3900,
57335,EE-0300,
58562,BS-1200,BS-1200
59253,TD-0600,TD-0600
59491,JP-1100,
59681,SR-1000,
59777,SR-1000,
60329,AD-1500,
66654,RS-0900,TG-1500
68442,RB-0700,TY-0200
69239,FW-0200,
69925,AS-0400,JB-0500
70110,MS-5500,
76189,DB-6000,
77529,TY-0200,RA-0100
78161,TJ-0400,JW-4600
78859,KM-2400,
80131,JW-3900,MG-1500
81126,CH-2200,JG-1600
81451,GC-0100,JB-3000
82366,AD-1500,AD-1500
82645,DS-5000,
82660,CH-4800,
83675,BM-3200,TB-3300
84075,MR-1800,
84349,JG-1600,
85392,MS-5500,
85900,DH-4100,TT-1700
86917,EW-1800,SR-0600
87011,SR-1000,
89075,CF-1400,TK-0500
89433,CP-1900,
91935,JW-3900,
93220,KB-1000,JF-0500
93280,AM-1600,TP-1200
93831,ER-0100,KK-0400
94703,SB-1300,
94741,EE-0300,
95171,TJ-2500,
96206,MC-2300,
97451,LA-0800,GC-0100
97848,AH-2700,
99709,MB-1200,GC-0100
99762,KB-2600,KB-2600
100118,LJ-1200,KM-0700
101771,EW-0600,
101879,DR-0500,EW-0300
102174,BH-1700,HG-0200
102673,CB-4300,
104193,JA-2200,
104716,AD-1200,
104723,JE-1100,
105845,SG-0700,KM-0300
106512,EK-0200,
106877,MS-4800,
106967,BF-0400,GM-0400
106997,JF-0500,JF-0900
108116,JH-0300,
109203,LL-0600,OS-1000
109455,DS-5000,MR-2400
110203,RS-0900,
110573,ER-0100,ER-0100
110751,SB-2000,
110848,SB-2000,
111574,RS-0900,
113070,KM-2300,KM-2300
113074,FA-0100,BB-0800
113263,CC-1800,PP-0300
113651,CW-2400,RJ-1600
113754,GW-0300,
114638,KB-2100,JB-4100
115197,TP-2300,DO-0200
115612,RW-4100,
115983,MM-3700,WD-0500
116381,MS-4500,DR-3300
116513,JH-3400,
116941,KP-0800,
118150,CH-4800,
121891,KJ-0400,TC-2700
122117,GJ-0100,
122311,MR-1000,DD-2100
123306,JM-2500,KW-1300
124560,SR-1000,TL-1300
124641,TW-2200,
124657,RB-2300,DM-2600
126264,MS-1700,AU-0100
128080,TJ-1700,EJ-0800
128537,RS-1400,
128585,MM-3400,
129014,EJ-0400,
130117,BL-1200,TJ-0400
132958,KJ-0400,TT-1700
133049,JP-2000,
133081,KJ-0400,
135689,OS-0100,EJ-0800
137537,DK-0900,CA-0400
137834,MW-1900,BJ-2500
138568,PD-0100,
140003,CH-0800,
140284,LT-0900,
140378,ER-0100,ER-0100
141116,CH-4800,
142474,RA-1200,JK-0800
143841,RS-0900,TB-3300
144239,WS-0100,
144291,RB-0700,
144923,AW-1500,
145297,JH-0300,
145466,JT-2700,
145930,JB-5300,WM-0100
146213,SG-0700,DH-1300
146353,IR-0200,RJ-1700
146774,PP-1100,
147348,EJ-0400,
147731,FA-0100,
148512,WA-0200,OS-1000
148611,TJ-0500,
148764,DL-1300,OH-0500
149900,JD-1775,
150432,SW-1500,
153982,FA-0100,
154727,ER-0100,ER-0100
155736,RW-0200,KW-0200
155760,RW-0200,DG-2100
156396,ML-1600,
157032,FA-0100,
158274,OS-0100,
158614,ED-0800,
158670,JB-7200,
158912,JD-3100,KG-0300
160922,DG-0900,RB-0700
160995,TJ-2500,
164046,EB-1700,
164478,KS-1600,FT-0200
166284,FB-0700,
167055,JS-7600,TP-2300
168045,JB-4100,
168296,EF-0100,
169251,OU-0100,DT-2000
169296,OU-0100,
170429,RB-3000,
170558,RS-0900,SM-2500
171540,SB-2000,
172232,SR-1000,BW-0200
175760,JS-0200,
179150,SG-0700,MM-3700
183532,ND-0400,
185988,GH-0800,
190582,NA-0200,AG-0600
190943,AP-0500,JW-1900
191167,TJ-0700,WH-0200
192776,RM-3000,
194516,MC-2300,
195850,OR-0200,
196660,LW-0100,
197829,SR-1000,
198215,EJ-0400,
198335,JP-2000,
198372,DW-2400,DW-2400
198686,RS-2800,RG-0300
199356,JK-0300,HD-0400
199979,MP-1700,
200056,LW-0100,
