pid,rb,te,drp,mbt,yac
697182,1,1,0,0,12
697183,2,0,0,0,0
697184,1,1,0,0,0
697185,1,1,0,0,1
697186,1,1,0,0,0
697187,2,1,0,0,0
697188,1,1,0,0,0
697189,2,1,0,0,0
697190,1,2,0,0,0
697191,1,1,0,5,0
697192,2,1,0,0,0
697193,1,2,0,0,0
697194,1,2,0,0,0
697195,1,1,0,1,0
697196,2,2,0,0,0
697197,1,1,0,0,0
697200,2,1,0,0,0
697201,1,1,0,0,0
697202,1,0,0,0,0
697203,2,0,0,0,0
697204,1,0,0,0,19
697205,2,0,0,0,0
697206,1,1,0,0,0
697207,1,1,0,0,0
697208,1,1,0,0,0
697209,1,1,0,0,0
697210,1,0,0,0,0
697211,1,2,0,0,0
697212,2,1,0,2,0
697213,1,1,0,0,0
697215,2,0,0,0,0
697216,2,0,0,1,0
697217,2,0,0,0,0
697218,2,1,0,0,0
697219,2,1,0,1,0
697222,2,1,0,0,0
697223,1,2,0,0,0
697224,1,1,0,0,0
697225,1,1,0,0,0
697226,2,1,0,1,0
697227,1,2,0,0,0
697228,1,2,0,0,2
697229,2,1,0,0,0
697230,2,2,0,0,0
697231,1,2,0,0,0
697232,1,1,0,0,0
697233,1,1,0,0,0
697234,1,1,1,0,0
697235,1,1,0,1,17
697236,1,1,0,1,0
697237,1,3,0,0,0
697238,1,1,0,0,0
697240,1,1,0,1,0
697243,2,1,0,0,0
697244,1,1,0,0,0
697245,1,1,0,0,0
697247,1,1,0,0,0
697248,1,1,0,0,0
697249,1,1,0,2,16
697251,1,1,0,0,0
697252,1,1,0,0,0
697253,1,1,0,0,1
697256,2,1,0,0,0
697258,1,2,0,0,0
697259,1,2,0,0,0
697260,1,2,0,0,0
697261,2,2,0,1,0
697262,2,1,0,0,0
697264,1,1,0,0,9
697265,1,1,0,0,0
697267,1,0,0,0,0
697268,1,0,0,0,0
697269,1,2,0,2,0
697270,2,2,0,0,0
697271,1,2,0,0,0
697273,1,1,0,0,0
697274,1,1,0,0,0
697275,0,1,0,0,0
697277,1,2,0,0,0
697278,1,1,0,0,0
697281,1,1,0,0,13
697283,1,1,0,0,1
697284,1,1,0,0,0
697285,2,1,0,0,5
697286,1,1,0,0,0
697287,1,1,0,0,0
697288,2,0,0,0,10
697289,1,1,0,0,1
697290,1,1,0,0,28
697293,2,2,0,2,0
697294,1,2,0,0,0
697295,1,1,0,0,0
697296,1,1,0,0,0
697297,1,1,0,0,0
697298,1,1,0,0,0
697299,1,1,0,0,0
697300,0,2,0,0,0
697301,2,1,0,0,0
697302,2,1,0,0,0
697303,2,1,0,0,0
697304,1,1,0,0,0
697307,1,1,0,0,0
697308,2,2,0,1,0
697309,1,1,0,0,7
697310,1,2,0,0,0
697311,1,1,0,0,10
697312,1,2,0,0,0
697313,1,1,0,0,0
697314,2,2,0,0,0
697315,1,1,0,0,0
697318,2,1,0,0,0
697319,2,0,0,0,0
697320,1,1,0,0,0
697323,1,2,0,1,0
697324,1,2,0,2,0
697325,1,1,0,0,0
697327,2,2,0,0,0
697328,1,1,0,0,0
697329,1,1,0,0,2
697330,1,1,0,0,0
697332,1,1,0,0,0
697333,1,1,0,0,5
697334,1,1,0,0,0
697335,1,1,0,0,0
697337,2,0,0,0,0
697339,1,1,0,0,0
697340,1,2,0,0,8
697341,1,1,0,0,0
697342,2,1,0,1,6
697343,1,2,0,0,0
697346,1,2,0,0,0
697347,1,2,0,0,0
697348,1,1,0,0,0
697350,1,2,0,0,0
697351,1,1,0,0,0
697354,1,2,0,0,0
697355,1,1,0,0,0
697356,1,1,0,0,0
697357,1,1,0,0,0
697358,2,1,0,0,0
697359,1,1,0,0,0
697362,1,2,0,0,0
697363,1,2,0,0,3
697364,1,1,0,0,0
697365,1,1,0,0,0
697366,1,1,0,0,0
697367,1,1,0,2,0
697369,1,1,0,0,0
697370,1,1,0,0,0
697373,2,1,0,0,6
697374,1,1,0,0,0
697375,1,1,0,0,0
697376,1,1,0,0,0
