gid,player,team,details,pstat,gstat
3990,TF-0750,NE,Knee,Full Participation in Practice,Questionable
3990,TW-3250,NE,Quadricep,Limited Participation in Practice,Questionable
3990,BS-4350,NE,Concussion,Did Not Participate In Practice,Out
3990,LJ-1250,PIT,Concussion,Did Not Participate In Practice,Out
3991,MW-3250,CHI,Hamstring,Limited Participation in Practice,Questionable
3991,TP-2000,CHI,Hamstring,Did Not Participate In Practice,Out
3991,SA-0100,CHI,Illness,Did Not Participate In Practice,Out
3991,AJ-0430,CHI,Calf,Limited Participation in Practice,Questionable
3991,ER-0500,CHI,Hip,Limited Participation in Practice,Questionable
3991,JB-4550,CHI,Ankle,Limited Participation in Practice,Questionable
3991,JB-8200,CHI,Back,Did Not Participate In Practice,Probable
3991,JC-3100,CHI,Concussion,Full Participation in Practice,Probable
3991,EG-0350,CHI,Concussion,Full Participation in Practice,Probable
3991,SB-0250,GB,Ankle,Limited Participation in Practice,Questionable
3991,RC-1500,GB,Shoulder,Limited Participation in Practice,Probable
3991,MB-5100,GB,Calf,Did Not Participate In Practice,Questionable
3992,MM-4000,HOU,Calf,Did Not Participate In Practice,Out
3992,LB-0150,HOU,Knee,Did Not Participate In Practice,Out
3992,XS-0100,HOU,Calf,Did Not Participate In Practice,Out
3992,BM-1450,HOU,Knee,Full Participation in Practice,Probable
3992,CC-4550,HOU,Shoulder,Full Participation in Practice,Probable
3992,JC-3350,HOU,Knee,Full Participation in Practice,Probable
3992,DB-4900,HOU,Hand,Full Participation in Practice,Probable
3992,AF-0900,HOU,Groin,Did Not Participate In Practice,Out
3992,CT-1025,HOU,Concussion,Limited Participation in Practice,Out
3992,AW-1650,KC,Shoulder,Full Participation in Practice,Probable
3992,JA-2900,KC,Hip,Full Participation in Practice,Probable
3992,JA-1050,KC,Knee,Full Participation in Practice,Questionable
3992,JM-1600,KC,Achilles,Full Participation in Practice,Probable
3992,DH-1450,KC,Foot,Full Participation in Practice,Probable
3992,DP-1450,KC,Back,Full Participation in Practice,Probable
3992,EF-0050,KC,Ankle,Full Participation in Practice,Questionable
3992,DT-0850,KC,Calf,Full Participation in Practice,Probable
3992,TK-0150,KC,Ankle,Full Participation in Practice,Probable
3992,CC-3950,KC,Knee,Full Participation in Practice,Probable
3992,RN-1300,KC,Ankle,Full Participation in Practice,Probable
3993,KW-1550,CLE,Abdomen,Limited Participation in Practice,Questionable
3993,JT-1600,CLE,,Full Participation in Practice,
3993,MM-4500,CLE,Rib,Full Participation in Practice,Probable
3993,MS-0550,CLE,Thumb,Full Participation in Practice,Probable
3993,PD-0450,CLE,Concussion,Full Participation in Practice,Probable
3993,RT-1950,CLE,Ankle,,
3993,TP-2400,CLE,,Full Participation in Practice,
3993,DB-3200,CLE,Hamstring,Limited Participation in Practice,Questionable
3993,CK-0850,CLE,Groin,Full Participation in Practice,Probable
3993,BM-2850,CLE,Knee,Limited Participation in Practice,Questionable
3993,JM-0850,CLE,Right Elbow,Full Participation in Practice,Probable
3993,JG-1250,CLE,Hip,Limited Participation in Practice,Questionable
3993,JH-0100,CLE,Hip,Full Participation in Practice,Probable
3993,NO-0300,CLE,Back,Limited Participation in Practice,Questionable
3993,DJ-1850,CLE,Concussion,Full Participation in Practice,Probable
3993,CI-0300,NYJ,Knee,Full Participation in Practice,Probable
3993,BI-0100,NYJ,Knee,Full Participation in Practice,Probable
3993,AC-2400,NYJ,Hip,Full Participation in Practice,Probable
3993,GS-1050,NYJ,Jaw,Did Not Participate In Practice,Out
3993,JC-1000,NYJ,Back,Full Participation in Practice,Probable
3993,JJ-1100,NYJ,Shoulder,Full Participation in Practice,Probable
3993,JK-1000,NYJ,Concussion,Full Participation in Practice,Probable
3993,EH-0600,NYJ,Knee,Full Participation in Practice,Probable
3993,WC-0200,NYJ,Knee,Full Participation in Practice,Probable
3993,SB-0900,NYJ,Knee,Full Participation in Practice,Probable
3993,DS-3031,NYJ,Ribs,Full Participation in Practice,Probable
3993,LM-0550,NYJ,Knee,Full Participation in Practice,Probable
3993,LW-1350,NYJ,Calf,Full Participation in Practice,Probable
3994,LM-1000,BUF,Hamstring,Full Participation in Practice,Probable
3994,MG-1050,BUF,Ribs,Did Not Participate In Practice,Out
3994,MW-2300,BUF,Calf,Full Participation in Practice,Probable
3994,PH-0400,BUF,Hip,Full Participation in Practice,Probable
3994,RW-4050,BUF,Hip,Full Participation in Practice,Probable
3994,SW-0450,BUF,Hamstring,Full Participation in Practice,Probable
3994,CC-2100,BUF,Knee,Full Participation in Practice,Probable
3994,CH-3350,BUF,Knee,Full Participation in Practice,Probable
3994,TS-3275,BUF,Knee,Did Not Participate In Practice,Out
3994,DS-2350,IND,Knee,Limited Participation in Practice,Questionable
3994,BW-0920,IND,Knee,Full Participation in Practice,Probable
3994,GT-0300,IND,Neck,Did Not Participate In Practice,Out
3994,DJ-0500,IND,Toe,Full Participation in Practice,Probable
3994,VB-0050,IND,Hamstring,Did Not Participate In Practice,Out
3994,RM-1400,IND,Achilles,Limited Participation in Practice,Questionable
3994,SP-1750,IND,Concussion,Full Participation in Practice,Probable
3994,NI-0100,IND,Knee,Full Participation in Practice,Probable
3995,DP-0350,MIA,Foot,Full Participation in Practice,Probable
3995,JT-0850,MIA,Thigh,Full Participation in Practice,Probable
3995,LJ-0350,MIA,Shoulder,Full Participation in Practice,Probable
3995,JF-3000,MIA,Concussion,Limited Participation in Practice,Doubtful
3995,BA-0200,MIA,Knee,Full Participation in Practice,Probable
3995,JJ-1150,WAS,Thigh,Full Participation in Practice,Questionable
3995,FK-0100,WAS,Shoulder,Full Participation in Practice,Probable
3995,RG-1850,WAS,Concussion,Full Participation in Practice,Probable
3995,TC-2350,WAS,Calf,Did Not Participate In Practice,Questionable
3995,KL-1000,WAS,Finger,Full Participation in Practice,Probable
3996,SL-0950,CAR,Foot,Did Not Participate In Practice,Out
3996,RK-0100,CAR,Knee,Full Participation in Practice,Probable
3996,RB-3100,CAR,Shoulder,Did Not Participate In Practice,Out
3996,TW-2250,CAR,Groin,Full Participation in Practice,Probable
3996,NC-0150,CAR,Knee,Did Not Participate In Practice,Out
3996,JN-1750,CAR,Concussion,Full Participation in Practice,Probable
3996,ML-0650,JAC,Hamstring,Did Not Participate In Practice,Doubtful
3996,MB-1900,JAC,Ankle,Full Participation in Practice,Probable
3996,LR-0350,JAC,Knee,Full Participation in Practice,Probable
3996,JT-2000,JAC,Hand,Did Not Participate In Practice,Out
3996,SM-0500,JAC,Knee,Did Not Participate In Practice,Out
3996,TG-0600,JAC,Abdomen,Limited Participation in Practice,Questionable
3996,JC-6400,JAC,Finger,Full Participation in Practice,Probable
3996,BW-0400,JAC,Hamstring,Full Participation in Practice,Probable
3996,AB-2730,JAC,Knee,Did Not Participate In Practice,Out
3997,CH-2350,SEA,Knee,Full Participation in Practice,Probable
3997,TS-1650,SEA,Toe,Limited Participation in Practice,Questionable
3997,TJ-0300,SEA,Ankle,Full Participation in Practice,Probable
3997,ML-2500,SEA,Not Injury Related,Full Participation in Practice,Probable
3997,MM-5200,SEA,Hamstring,Out (Definitely Will Not Play),Out
3997,TM-0650,STL,Thigh,Did Not Participate In Practice,Questionable
3997,DB-0975,STL,Knee,Limited Participation in Practice,Questionable
3997,TG-1950,STL,Knee,Limited Participation in Practice,Out
3998,IM-0300,ARI,,Did Not Participate In Practice,
3998,JG-3700,ARI,Hamstring,Limited Participation in Practice,Questionable
3998,MF-0950,ARI,Hand,Limited Participation in Practice,Questionable
3998,MI-0200,ARI,Knee,Did Not Participate In Practice,Out
3998,TN-0550,ARI,Hamstring,Limited Participation in Practice,Questionable
3998,CS-3400,NO,Knee,Did Not Participate In Practice,Out
3998,JB-8800,NO,Knee,Did Not Participate In Practice,Out
3998,DE-0600,NO,Toe,Did Not Participate In Practice,Out
3998,TH-1600,NO,Knee,Full Participation in Practice,Probable
3998,KL-0600,NO,Hip,Did Not Participate In Practice,Out
3998,DT-1985,NO,Shoulder,Did Not Participate In Practice,Out
3999,CR-0650,DET,Ankle,Did Not Participate In Practice,Out
3999,DL-1200,DET,Hip,Did Not Participate In Practice,Doubtful
3999,EE-0050,DET,Ankle,Full Participation in Practice,Probable
3999,LW-0350,DET,Ankle,Did Not Participate In Practice,Out
3999,LW-0050,DET,Elbow,Full Participation in Practice,Questionable
