pid,psr,ints,iry
`,JG-0600,AA-1200,36
356,TA-0300,JT-3400,27
383,DM-2200,IR-0300,14
394,RC-2800,CE-0500,8
396,DM-2200,DN-0800,24
464,KD-0600,PS-0700,0
491,VT-0200,DS-1600,29
647,BF-0100,VG-0200,0
666,PM-0200,DE-0400,3
779,EG-0600,JB-7900,27
834,JK-1500,SM-0200,4
847,JK-1500,SM-0200,34
865,JK-1500,PS-1000,12
889,JK-1500,BM-0200,0
1075,DC-4400,JA-3100,2
1306,SC-0200,SK-0500,37
1356,JB-3800,KS-0300,6
1534,JP-3200,EM-0900,2
1539,JP-3200,EM-0900,0
1555,JP-3200,SW-1500,40
1560,KC-2000,KL-0500,11
1657,RL-0300,MP-1600,25
1696,RL-0300,CW-3700,13
1790,RL-0300,WT-0100,3
2116,SM-2400,KC-0300,8
2298,KW-0500,AW-1600,1
2400,KW-0500,AW-1600,0
2411,KW-0500,TB-3700,32
2522,TB-0200,RS-3000,13
2537,TB-0200,RS-3000,24
2585,MB-4500,KH-1700,30
2623,MB-4500,CH-1800,2
2725,RJ-1200,VH-0400,3
2869,TC-2600,TS-2900,5
2900,AS-1400,LS-0100,0
2923,AS-1400,EL-0400,7
3150,BJ-1400,KP-1100,78
3182,CB-0900,CB-0100,0
3228,BJ-1400,KS-0300,6
3249,CB-0900,CB-0100,0
3250,BJ-1400,BW-1100,0
3261,BJ-1400,TF-0100,0
3372,PM-0200,TJ-0800,25
3430,PM-0200,TJ-0800,0
3465,DC-4400,BM-0200,14
3504,JF-1400,KT-0200,0
3513,DC-4400,BW-0300,1
3565,DC-4400,TB-2000,0
3793,JB-3800,DL-1500,3
3851,JB-3800,OR-0300,18
3852,RL-0300,FW-0500,27
3910,RL-0300,AM-2400,24
3950,SB-0700,JP-2500,31
4012,JG-0600,ED-0100,3
4128,KW-0500,JB-2900,84
4159,JK-1500,KL-1700,9
4241,JK-1500,TL-1300,0
4281,CM-2200,DA-0100,1
4308,CM-2200,DA-0100,18
4472,SM-2400,DE-0400,42
4500,SM-2400,JH-2600,38
4758,VT-0200,AL-0300,24
4898,SB-0700,RB-4600,38
5019,SB-0700,AA-1200,37
5299,JB-3400,CF-1500,0
5481,CB-0900,JL-3400,36
5507,CB-0900,DA-0100,13
5536,BF-0100,BD-0700,0
5581,DM-2200,DS-1600,7
5632,BF-0100,TV-0200,0
5640,BF-0100,DM-2900,20
5764,AS-1400,HN-0400,10
5781,MB-4500,SF-0300,1
5823,AS-1400,AB-1000,39
5853,EG-0600,MD-1000,56
5968,RL-0300,LB-1700,33
6117,DB-2600,CD-1700,0
6120,DC-4400,LM-1300,0
6289,VT-0200,SC-1600,2
6336,RJ-1200,SF-0600,1
6429,RG-0200,JM-5300,9
6478,RG-0200,TB-3700,5
6579,JK-1500,AM-2400,0
6631,KW-0500,WT-0300,11
6705,JG-0600,DB-2800,22
6706,KW-0500,JK-0400,0
6786,JG-0600,DM-1000,0
6847,JF-1400,JT-3200,3
6849,TB-0200,PS-1000,43
7026,RC-2800,SS-1000,0
7082,BJ-1400,IR-0300,46
7175,JP-3200,DS-1600,0
7224,JP-3200,TW-2900,21
7238,JP-3200,DS-1600,0
7253,JP-3200,LB-1800,3
7269,CC-1400,DB-2800,8
7342,KW-0500,PK-0200,8
7395,CC-1400,DM-1000,3
7465,SM-2700,RW-4100,2
7484,SM-2700,DS-4000,0
7635,CM-2200,KS-0300,3
7687,CM-2200,KS-0300,5
7689,CB-0900,BU-0200,0
7721,CM-2200,KS-0300,0
7804,TA-0300,JP-2500,2
7954,EG-0600,RC-2600,26
8028,EG-0600,RC-2600,0
8055,GF-0400,MP-0600,15
8080,JF-1400,HT-0400,16
8110,JF-1400,TL-0500,32
8134,DB-2600,GJ-0300,3
8283,JB-3800,TV-0200,0
8368,JB-3800,TV-0200,17
8435,TC-2600,WT-0100,12
8447,TC-2600,WT-0100,46
8571,NO-0100,CS-1100,33
8586,NO-0100,CS-1100,5
8662,NO-0100,DW-1400,-2
8799,RL-0300,WW-0700,69
8829,JH-1100,SS-2600,0
8928,SK-0400,VG-0200,17
8930,VT-0200,DR-2100,1
8941,SK-0400,AG-0800,0
8958,VT-0200,RB-0700,37
8978,VT-0200,JD-3100,10
9145,KC-2000,DS-0400,32
9241,MB-4500,MP-1000,5
9350,MB-4500,CC-4500,3
9390,PM-0200,AW-1800,8
9582,TA-0300,ED-0100,0
9589,TA-0300,DW-2100,14
9707,JF-1400,TS-2900,7
9846,TC-2600,RW-4100,0
9848,TB-0200,CF-1500,0
9869,TC-2600,DS-4000,4
9939,TC-2600,RL-0600,1
10060,DB-2600,TB-3700,9
10104,BG-1900,TJ-2500,0
10291,CB-0900,OT-0100,0
10320,BF-0100,TP-0400,36
10510,KS-2300,FB-0800,0
10551,MB-4500,LF-0400,0
10945,JH-1100,JS-2200,0
11061,KC-2000,DS-2100,19
11134,KC-2000,DW-0600,4
11148,KC-2000,SR-1100,41
11174,SK-0400,DG-2500,0
11356,TS-1900,RB-4600,0
11371,CC-1400,HD-0400,9
11381,DM-2200,RB-2700,12
11666,JK-1500,JW-6300,0
11846,CC-1400,JS-1700,32
11882,KC-2000,RB-2700,0
11936,DK-0200,JA-2300,-2
11950,KC-2000,AA-1200,24
12038,SB-0700,CB-3300,0
12151,JB-3800,MB-4100,35
12201,CM-2200,CO-0800,0
12288,CM-2200,DS-2600,15
12309,CM-2200,SK-0500,0
12378,SM-2400,DW-3400,36
12529,CB-0900,LB-1800,22
12542,BF-0100,LC-0100,42
12616,BF-0100,TF-0100,0
12627,BF-0100,KS-0300,19
12729,JF-1400,KI-0100,0
12781,DF-1300,JW-5000,19
12913,PM-0200,TL-0500,0
12934,PM-0200,TJ-2500,20
12945,PM-0200,AH-1425,11
12993,RL-1400,DW-1400,31
13102,RL-1400,BA-0300,9
13163,DM-2200,SS-1000,15
13236,BJ-1400,DM-2900,4
13268,DM-2200,DG-2500,33
13280,JH-1100,BJ-1000,17
13379,JH-1100,TB-3700,31
13425,JH-1100,TB-3700,33
13599,RG-0200,PP-1100,13
13789,MB-4500,RW-4100,18
13795,MB-4500,KH-1700,25
13828,JM-1100,CM-1200,44
13901,DC-4400,DR-2100,0
14076,JP-3200,BT-0500,31
