pid,saf
1729,DR-3600
9301,CB-2800
9558,IR-0300
12720,JH-0200
15499,JP-3600
19642,JW-4700
26319,RM-1000
28266,BS-2800
36309,AF-0800
38726,MM-2300
60882,OR-0200
61692,TB-2200
65595,JT-1200
74375,JF-1800
86507,SP-0700
102130,FR-0100
111122,RM-3800
119718,JM-2500
131018,JA-2300
137213,RB-2300
138740,LG-0300
138748,KC-1700
142505,GW-1700
147061,JT-0900
160845,JG-3400
161581,JU-0100
163774,OH-0500
190539,PW-0900
194526,AO-0300
196121,GF-0200
196249,CR-0500
204502,DS-2700
209491,TB-3500
211037,SK-0500
214160,BS-2500
219545,SQ-0100
232879,KC-0500
236942,DW-2800
242617,JT-0900
245135,LF-0300
249060,AL-0100
250563,JP-3600
254634,DV-0300
259310,TW-0700
262503,AT-0400
267224,ER-0100
274338,MH-3700
274740,LA-0600
277437,LM-0400
279411,TB-3100
283539,MR-2300
287821,JD-1775
288459,TJ-1200
306499,GW-0300
308383,LM-0400
312437,AC-0700
318213,DF-1900
322875,CK-0300
328990,AC-0400
330508,AC-2500
331875,WS-0800
340153,KG-0700
346863,AO-0300
351387,CG-1800
353783,GW-1500
357310,JA-0900
361088,JM-2400
361708,CA-0800
366789,JA-0900
368316,JR-2200
370059,JH-2100
385817,AS-2400
389599,DM-0200
395672,BC-3100
397466,JA-0900
397865,JP-2000
398611,DH-4100
401036,TH-0200
403190,HT-0500
404810,KS-1700
413573,LD-0400
417067,ZD-0200
437975,BS-1900
443219,JB-0300
457607,TP-2300
466929,JT-0900
467096,QG-0400
468430,ES-0800
474227,MD-0300
477377,MW-1800
479691,GH-0300
485433,AH-0800
487370,AS-1500
488994,SP-0100
489984,RB-0700
495339,JH-0300
499342,KS-0800
505126,JA-0900
506921,SP-1500
507420,PH-0800
507596,RM-2000
507831,AA-1400
508458,JP-2900
512748,CC-0500
525218,JH-5500
525938,ED-1000
530802,KO-0400
532863,CK-0300
535018,CB-0800
541366,MA-0200
543194,SP-1100
545305,RM-2400
556169,KV-0100
563114,CC-5300
565504,TC-2000
566643,JM-2000
575492,CC-0200
578250,CL-0850
580096,ES-0800
583609,CW-0100
587839,LD-0150
593017,NS-0800
597564,JA-0100
598698,CR-0500
602513,NF-0100
603358,CT-1300
607811,CA-1300
608073,TM-1700
614004,DL-1200
615380,RS-2800
615561,NI-0100
619127,JG-0400
624890,TS-3500
636138,GA-0400
641036,SR-0670
649416,JG-0400
649897,JW-1100
650724,JB-3350
659692,KM-1950
670836,JL-0600
672264,MJ-0030
676769,FR-0200
686815,BM-0750
690169,DA-2050
690936,TM-2050
693982,DL-0450
695828,PS-0550
701050,DT-0150
701213,DT-0150
702866,CP-1300
703586,DH-4650
707913,CC-0200
710674,DH-2950
728238,LF-0450
730414,PK-0300
730806,MA-0300
731660,MB-3875
740452,BG-0250
