uid,gid,tname,player,pos,snp
1,4257,CAR,MO-0200,OL,73
2,4257,CAR,MR-0645,LT,73
3,4257,CAR,TT-1850,RG,73
4,4257,CAR,AN-0400,LG,73
5,4257,CAR,CN-0500,QB,73
6,4257,CAR,GO-0100,TE,73
7,4257,CAR,RK-0100,OL,73
8,4257,CAR,KB-0950,LWR,52
9,4257,CAR,TG-0900,RWR,45
10,4257,CAR,JS-6700,RB,42
11,4257,CAR,CB-3850,RWR,39
12,4257,CAR,DF-2200,LWR,39
13,4257,CAR,ED-0400,TE,30
14,4257,CAR,MT-1300,FB,29
15,4257,CAR,FW-0750,RB,13
16,4257,CAR,SS-1525,TE,2
17,4257,CAR,DW-3450,RT,1
18,4257,CAR,KC-1800,SS,58
19,4257,CAR,TD-0700,WLB,58
20,4257,CAR,LK-0600,MLB,58
21,4257,CAR,TB-1850,FS,58
22,4257,CAR,BB-1750,RCB,55
23,4257,CAR,JB-4975,LCB,55
24,4257,CAR,KS-0850,RDT,41
25,4257,CAR,KE-0050,RDE,40
26,4257,CAR,SL-0950,LDT,38
27,4257,CAR,RM-1900,LCB,37
28,4257,CAR,CJ-1300,LDE,37
29,4257,CAR,VB-0375,RDT,23
30,4257,CAR,RD-0850,RDE,21
31,4257,CAR,MA-0300,RDE,19
32,4257,CAR,PS-0600,LDT,19
33,4257,CAR,ST-0550,SLB,18
34,4257,CAR,AK-0650,SLB,3
35,4257,DEN,RO-0400,LT,58
36,4257,DEN,DS-4050,RT,58
37,4257,DEN,MS-0525,RG,58
38,4257,DEN,MP-0250,C,58
39,4257,DEN,MG-0250,LG,58
40,4257,DEN,TS-1450,QB,58
41,4257,DEN,ES-0200,RWR,50
42,4257,DEN,CA-0750,RB,48
43,4257,DEN,DT-0900,LWR,44
44,4257,DEN,VG-0300,TE,41
45,4257,DEN,JN-1900,RWR,30
46,4257,DEN,AJ-0375,FB,27
47,4257,DEN,CL-0275,RWR,17
48,4257,DEN,JT-1050,LWR,13
49,4257,DEN,JP-2800,TE,6
50,4257,DEN,DW-2050,OL,6
51,4257,DEN,DB-2950,RB,6
52,4257,DEN,KB-1050,RB,2
53,4257,DEN,CH-1500,RCB,58
54,4257,DEN,TW-0600,SS,58
55,4257,DEN,DS-4300,FS,58
56,4257,DEN,BM-0330,ILB,58
57,4257,DEN,AT-0100,LCB,58
58,4257,DEN,VM-0300,SLB,55
59,4257,DEN,JC-5630,RDE,54
60,4257,DEN,SW-1750,NT,49
61,4257,DEN,DW-4250,LDE,47
62,4257,DEN,BR-1050,RCB,46
63,4257,DEN,TD-0725,ILB,45
64,4257,DEN,SR-0250,WLB,39
65,4257,DEN,DW-1100,WLB,32
66,4257,DEN,JS-3150,FS,29
67,4257,DEN,SB-0225,SLB,22
68,4257,DEN,BW-2650,LDE,22
69,4257,DEN,CN-0450,ILB,14
70,4257,DEN,KW-0850,LCB,11
71,4257,DEN,DK-0550,NT,11
72,4257,DEN,AG-1350,RDE,5
73,4258,BUF,RI-0100,LG,49
74,4258,BUF,JM-4550,RG,49
75,4258,BUF,JM-4950,RT,49
76,4258,BUF,TT-0500,QB,49
77,4258,BUF,EW-1600,C,49
78,4258,BUF,CC-2100,TE,48
79,4258,BUF,LM-1000,RB,42
80,4258,BUF,SW-0450,LWR,42
81,4258,BUF,RW-4050,RWR,41
82,4258,BUF,CK-0950,LT,28
83,4258,BUF,CG-1250,LT,24
84,4258,BUF,GS-0100,RWR,21
85,4258,BUF,MG-1050,LWR,11
86,4258,BUF,JD-2600,TE,10
87,4258,BUF,RG-2350,C,9
88,4258,BUF,GG-0487,FB,8
89,4258,BUF,RB-4900,RB,4
90,4258,BUF,MG-0650,RB,3
91,4258,BUF,NO-0150,TE,3
92,4258,BUF,CG-1700,FS,49
93,4258,BUF,PB-0750,MLB,49
94,4258,BUF,RD-0050,RCB,49
95,4258,BUF,SG-0650,LCB,49
