pid,qtr,min,sec,dwn,yds,pts,player,type
9,1,11,55,2,4,7,FB-0200,REC
75,2,4,36,2,44,7,TM-0900,REC
85,2,1,9,1,1,7,FB-0200,RUSH
98,3,15,0,1,48,7,SJ-0400,REC
111,3,11,29,1,4,7,FB-0200,REC
122,3,6,25,3,36,7,AA-1200,INT
158,4,3,56,2,6,7,TO-0200,REC
206,2,11,48,3,2,7,JS-4400,REC
226,2,7,35,2,13,7,JD-1100,REC
260,3,9,5,2,3,7,SM-0100,RUSH
299,4,14,46,3,9,7,CH-4400,RUSH
323,1,10,59,1,1,7,JT-2200,REC
351,1,0,8,1,1,7,DS-3500,RUSH
356,2,13,52,3,27,7,JT-3400,INT
431,4,15,0,3,3,7,DM-2200,RUSH
439,4,12,26,1,6,7,BM-3300,RUSH
455,4,6,49,2,4,8,JG-0500,REC
492,1,9,38,1,4,7,TD-0800,REC
509,1,9,33,3,2,7,CM-0600,RUSH
633,4,3,33,3,3,7,CM-0600,REC
686,2,15,0,3,1,7,EJ-0200,RUSH
709,2,6,45,2,11,7,TR-0300,REC
743,3,11,7,2,27,7,EJ-0200,REC
755,3,8,23,3,21,7,DA-0600,REC
779,4,13,37,3,27,7,JB-7900,INT
827,1,15,0,2,4,7,LS-1100,RUSH
884,2,0,48,2,16,7,OG-0100,REC
981,1,10,16,1,18,7,JA-1100,REC
1051,3,15,0,3,48,7,MR-1400,REC
1062,3,10,10,1,1,7,DC-4400,RUSH
1086,4,11,4,1,7,7,DC-4400,RUSH
1103,4,7,5,3,4,7,DC-4400,RUSH
1116,4,1,25,1,8,7,CM-2200,RUSH
1167,2,15,0,3,5,7,MA-0600,RUSH
1177,2,8,55,4,66,7,TB-3300,PR
1197,2,0,35,1,8,7,RA-1300,REC
1234,3,5,9,1,3,7,MA-0600,RUSH
1275,4,4,18,2,39,6,TG-1100,REC
1306,1,10,36,3,37,7,SK-0500,INT
1406,3,3,31,4,95,8,DH-4200,PR
1491,1,5,10,2,10,7,TB-0400,RUSH
1509,2,10,11,1,78,7,TB-0400,RUSH
1589,4,15,0,2,7,7,RD-0700,RUSH
1609,4,2,0,2,9,7,DB-3100,REC
1620,4,0,39,3,25,6,DB-3100,REC
1765,4,11,18,2,3,6,RC-0900,RUSH
1784,4,5,30,2,10,7,AR-0900,REC
1819,1,4,13,1,53,7,QI-0100,REC
1962,1,15,0,1,2,7,SD-0400,RUSH
1964,1,7,51,0,92,7,MB-1000,KR
2075,4,15,0,2,1,7,BJ-1400,RUSH
2101,4,2,0,1,20,7,WW-0100,REC
2147,2,15,0,1,15,7,PP-1000,REC
2245,4,9,38,2,2,7,EG-0200,RUSH
2288,1,13,17,1,8,7,BG-1900,RUSH
2304,1,5,22,4,86,7,AH-0200,PR
2325,2,13,42,1,5,7,MF-0300,RUSH
2337,2,5,58,1,25,7,RS-2100,REC
2348,2,0,42,1,7,7,RP-1900,REC
2365,3,9,19,2,72,7,MF-0300,REC
2379,3,5,25,3,80,7,AH-0200,REC
2388,3,4,2,1,7,7,DC-1900,REC
2411,4,7,32,2,32,6,TB-3700,INT
2421,4,3,2,1,1,6,RH-2600,RUSH
2450,1,8,8,2,45,7,JS-4400,REC
2465,1,2,40,1,43,7,JS-4400,REC
2475,2,14,54,1,14,7,TT-0400,REC
2527,3,13,55,3,23,8,TT-0400,REC
2561,3,1,26,2,5,7,OA-0300,REC
2580,4,10,5,2,12,7,JL-1600,REC
2608,4,1,55,3,40,7,JS-4400,REC
2617,4,0,48,2,29,7,SS-1200,REC
2684,2,0,48,1,6,7,JM-3000,REC
2697,3,15,0,1,6,7,JR-2300,REC
2706,3,7,58,1,7,7,AF-1300,REC
2739,4,15,0,1,14,7,JR-2300,REC
2778,4,0,41,3,18,8,AF-1300,REC
2810,1,7,24,1,16,7,TP-2100,RUSH
2822,2,15,0,1,4,7,RD-2100,REC
2832,2,12,57,2,5,7,MC-0200,REC
2911,4,13,30,1,5,7,ME-0300,REC
2967,1,12,47,2,2,7,MA-1000,RUSH
3000,2,12,19,1,6,7,HG-0400,REC
3013,2,11,5,1,20,7,MA-1000,RUSH
3035,2,1,1,1,11,7,RS-2100,REC
3037,2,0,56,0,100,7,DV-0200,KR
3051,3,15,0,3,37,8,RS-2100,REC
3072,3,6,16,1,35,7,TD-2500,REC
3170,2,13,13,3,5,7,SA-0700,REC
3275,1,15,0,1,13,7,MP-1500,REC
3289,1,8,39,2,6,7,EJ-0200,RUSH
3310,2,15,0,2,10,7,EJ-0200,REC
3332,2,7,36,3,3,7,RG-0200,RUSH
3357,3,15,0,2,7,7,RG-0200,RUSH
3375,3,5,25,3,6,7,RG-0200,RUSH
3386,3,2,45,1,6,7,TW-1600,RUSH
3406,4,7,1,2,1,7,TW-1600,RUSH
3414,4,5,39,2,50,7,MH-1200,REC
3575,4,2,0,1,15,7,RM-5000,REC
3583,4,1,5,1,2,7,TT-1100,REC
3657,2,1,6,3,25,7,AT-0900,REC
3666,2,0,23,1,31,7,TB-0400,RUSH
3693,3,9,9,1,30,7,IH-0100,REC
3702,3,4,1,2,15,6,DM-2200,RUSH
3737,4,1,25,2,7,6,CL-0900,REC
3775,1,2,6,2,6,7,JH-5200,REC
3783,2,14,25,1,3,7,RC-0900,RUSH
3807,2,7,10,2,20,7,CC-4100,REC
3824,2,1,54,0,0,7,RJ-0700,KR
3860,3,3,2,2,13,6,RW-2600,REC
3903,4,0,52,1,8,6,JH-5200,REC
3923,1,15,0,1,1,7,WF-0100,RUSH
3936,1,7,4,2,24,7,DH-2200,REC
3959,2,11,12,1,3,7,MM-5500,REC
3975,2,6,56,3,1,7,TB-1200,RUSH
3999,3,15,0,3,1,7,TJ-0400,RUSH
4008,3,7,30,3,9,7,WW-0100,REC
4038,4,13,45,3,17,7,JS-6900,REC
4070,4,1,47,2,2,8,FB-0200,RUSH
4128,2,12,29,3,84,7,JB-2900,INT
4155,2,0,20,1,1,7,RH-2600,RUSH
4171,3,9,59,2,3,7,RW-1000,RUSH
4182,3,9,56,1,1,7,MF-0300,RUSH
4200,4,13,28,1,4,7,RW-2900,REC
4210,4,11,32,1,1,7,RW-1000,RUSH
4218,4,5,21,1,2,7,KC-0500,FUM
4228,4,5,12,1,34,7,DJ-0100,REC
4311,2,2,0,3,3,7,SK-0400,RUSH
4316,2,1,29,2,24,7,RB-0700,FUM
4338,3,8,55,1,13,7,KJ-0700,REC
4345,3,7,46,1,58,7,JG-3200,REC
4374,4,15,0,3,20,7,MA-0600,RUSH
4463,2,1,48,1,30,7,KD-1900,REC
4472,2,0,24,3,42,7,DE-0400,INT
4507,4,15,0,1,16,7,DA-0600,REC
4547,4,0,56,3,8,7,YT-0100,REC
4587,1,5,2,4,64,7,WM-0400,PR
4605,2,12,9,1,1,7,MP-1300,RUSH
4612,2,9,13,2,47,7,JM-3500,REC
4630,2,0,31,1,1,7,JH-1800,REC
4663,3,2,41,3,4,7,FS-0100,REC
4683,4,9,0,3,15,7,MW-1600,REC
4703,4,2,0,3,17,6,FS-0100,REC
4741,1,5,4,2,4,7,FB-0100,REC
4853,4,11,44,2,6,7,EB-1200,REC
4865,4,9,56,2,2,7,WC-0100,REC
4880,4,2,0,1,28,6,WC-0100,REC
4931,2,14,13,1,26,7,JA-1600,RUSH
4961,2,0,20,2,9,7,MM-5500,REC
5048,1,15,0,2,34,7,RD-1200,REC
5112,2,0,18,3,2,7,EK-0300,REC
5141,3,8,16,2,3,7,TB-0400,RUSH
5203,1,15,0,1,2,7,AS-0800,REC
5218,1,7,35,1,21,7,ME-0300,REC
5232,2,15,0,2,4,7,RH-3400,RUSH
5293,3,10,12,1,10,7,JB-3400,RUSH
5373,1,6,53,3,6,7,SK-0400,RUSH
5388,1,3,13,1,4,7,MA-0600,RUSH
5420,2,3,34,2,2,7,RM-2200,REC
5436,2,0,7,1,50,7,GC-1000,REC
5490,4,5,43,3,1,7,WD-0700,RUSH
5685,1,11,13,1,21,7,KM-0900,REC
5853,1,11,41,3,56,7,MD-1000,INT
5896,2,12,14,1,36,7,SM-3500,REC
5922,2,0,47,1,1,7,TR-0300,REC
5947,3,8,12,1,9,7,SM-3500,REC
5956,3,7,12,3,2,7,TD-2000,REC
5974,4,14,45,1,20,7,SM-3500,REC
5997,4,2,0,2,1,7,FM-0700,RUSH
6024,1,8,14,3,4,7,RS-2000,RUSH
6032,1,4,25,1,2,7,KF-0200,RUSH
6053,2,13,5,2,1,7,JM-3900,REC
6066,2,8,22,3,39,7,MH-1700,REC
6137,4,13,25,3,8,6,TG-1100,REC
6192,1,6,14,3,3,7,EM-1800,REC
6194,1,6,10,0,97,7,KW-1300,KR
6226,2,12,30,4,5,7,CM-0600,RUSH
6247,2,1,17,3,74,7,JM-3000,REC
6256,2,0,19,2,45,7,MC-2100,REC
6349,1,15,0,3,10,7,EM-0500,REC
6352,1,8,45,1,28,7,TP-2300,FUM
6369,1,6,24,1,11,7,TB-2900,REC
6378,2,15,0,1,1,7,HG-0400,REC
6392,2,10,8,2,9,7,TB-2900,REC
6399,2,9,23,4,3,7,,BLPU
6501,1,11,25,1,7,7,RW-1000,RUSH
6519,1,5,14,3,49,7,KP-0900,REC
6598,4,15,0,3,1,7,IM-0200,REC
6632,1,14,35,1,29,7,FB-0200,REC
6690,2,8,6,3,18,7,TH-2600,REC
6697,2,3,1,1,20,7,CG-0400,REC
6700,2,2,14,1,78,7,IB-0200,REC
6724,3,13,31,1,1,7,MF-0300,RUSH
6752,4,14,57,1,12,7,TO-0200,REC
6762,4,12,2,1,4,7,MF-0300,RUSH
6779,4,1,45,2,1,7,MF-0300,RUSH
6866,3,15,0,1,7,7,LS-1100,RUSH
6890,4,15,0,2,8,6,LS-1100,REC
6941,1,11,13,4,7,7,SD-0400,RUSH
6956,1,2,42,1,76,7,CW-0700,REC
6973,2,14,54,4,3,7,ES-1000,RUSH
7031,3,7,5,1,1,7,SD-0400,RUSH
7058,4,9,56,1,16,7,JH-1800,REC
7070,4,5,39,1,7,7,MS-0800,REC
7121,1,8,40,2,19,7,AG-1600,RUSH
7135,2,15,0,1,55,7,BS-1100,REC
7264,1,13,46,2,3,7,JA-1600,RUSH
7296,2,15,0,2,14,7,IB-0200,REC
7325,2,2,37,2,80,7,TH-2300,REC
7346,3,14,4,1,94,7,KL-1700,FUM
7379,4,12,50,3,85,7,TH-2300,REC
7385,4,11,55,2,37,7,RK-0200,REC
7388,4,9,36,1,66,7,IB-0200,REC
7441,1,6,16,3,8,7,TT-0400,REC
7446,2,15,0,1,11,7,JL-1400,RUSH
7476,2,3,50,3,1,7,SS-1200,REC
7548,4,11,30,2,1,7,OA-0300,RUSH
7593,1,9,36,1,13,7,JM-6400,REC
7653,2,0,27,2,36,7,GC-1000,REC
7674,3,11,17,2,55,7,MR-1400,REC
7695,3,6,17,2,14,7,CM-2200,RUSH
7714,4,13,16,2,1,7,JS-6500,RUSH
7799,2,11,5,2,1,7,CG-0400,RUSH
7810,2,6,5,3,3,7,TO-0200,REC
7816,2,1,42,1,1,7,ES-1000,RUSH
7829,3,15,0,3,68,7,JR-2000,REC
7861,4,15,0,3,5,7,JR-2000,REC
7871,4,14,15,1,11,7,JH-1800,REC
7886,4,4,9,3,1,7,TO-0200,REC
7892,4,4,5,1,16,7,JH-1800,REC
7914,1,15,0,2,1,7,TR-0300,RUSH
7954,2,8,53,3,26,6,RC-2600,INT
7983,3,15,0,2,16,7,MA-1000,RUSH
7994,3,11,26,1,15,7,TG-1300,REC
8049,4,2,27,1,22,6,DA-0600,REC
8099,2,14,43,3,53,7,BE-0500,REC
8226,1,9,29,2,10,7,JB-3800,RUSH
8251,2,15,0,1,16,7,CL-0900,REC
8255,2,13,0,1,21,7,CJ-1400,REC
8320,3,5,27,4,72,7,BM-3300,PR
8382,1,15,0,1,15,7,DC-1500,REC
8391,1,10,17,2,2,7,TW-1600,RUSH
8410,2,15,0,1,2,7,TW-1600,RUSH
8443,2,1,21,2,2,7,ZC-0200,RUSH
8447,2,0,54,2,46,7,WT-0100,INT
8541,1,12,48,1,20,7,EG-0200,RUSH
8645,4,15,0,1,1,7,KS-2300,RUSH
8666,4,9,25,1,5,7,JB-3400,RUSH
8687,4,1,31,1,18,7,EK-0600,REC
8730,1,1,4,2,68,7,DJ-0100,REC
8799,3,7,4,3,69,7,WW-0700,INT
8901,2,15,0,1,3,7,DM-3000,REC
8958,3,5,24,1,37,7,RB-0700,INT
9003,4,2,0,2,6,8,CM-0600,REC
9009,4,1,0,2,18,7,WC-0100,REC
9055,2,15,0,1,23,7,IF-0300,REC
9099,3,15,0,1,21,6,AR-0400,REC
9168,4,4,30,2,7,6,IH-0100,REC
9188,1,12,30,1,76,7,MH-1200,REC
9234,2,8,46,1,9,7,JS-4400,REC
9244,2,6,2,3,27,7,TW-2100,REC
9255,2,1,34,2,16,7,JP-1300,REC
9264,2,0,16,2,26,7,JS-4400,REC
9323,4,9,4,3,4,7,KD-1000,REC
9332,4,7,24,1,14,7,EJ-0200,RUSH
9409,2,8,54,2,14,7,MH-1200,REC
9460,4,15,0,3,10,8,TW-2100,REC
9496,4,1,14,1,40,7,EM-1800,REC
9544,2,15,0,4,1,7,TB-1200,RUSH
9568,2,7,13,1,8,8,ES-1000,RUSH
9672,1,15,0,2,9,7,PW-0400,REC
9733,2,0,8,2,29,7,JT-0900,FUM
9750,3,15,0,1,18,7,LS-1100,RUSH
9761,3,6,12,1,7,7,OG-0100,REC
9779,4,12,31,2,21,7,OG-0100,REC
9980,1,12,55,3,11,7,TB-3300,REC
9991,1,9,17,1,44,7,TB-3300,REC
